    n;             min;             max;             avg;             mea;             bpc;             dev;
  202;      385830.000;      398822.000;      392326.000;      387888.200;           0.001;           0.883;
  203;      389498.000;      480644.000;      435071.000;      394561.000;           0.001;           5.136;
  204;      423138.000;      432226.000;      427682.000;      425008.400;           0.000;           0.582;
  205;      725424.000;      741456.000;      733440.000;      727981.700;           0.000;           0.567;
  206;      402510.000;      433978.000;      418244.000;      404645.500;           0.001;           1.711;
  207;      405764.000;      407240.000;      406502.000;      406506.200;           0.001;           0.076;
  208;      501738.000;      511398.000;      506568.000;      504745.300;           0.000;           0.488;
  209;      413276.000;      457872.000;      435574.000;      416594.000;           0.001;           2.392;
  210;      417152.000;      888060.000;      652606.000;      442798.500;           0.000;          23.725;
  211;      420678.000;      482198.000;      451438.000;      424853.900;           0.000;           3.218;
  212;      462022.000;      472332.000;      467177.000;      463250.700;           0.000;           0.470;
  213;      428642.000;      437414.000;      433028.000;      429368.100;           0.000;           0.445;
  214;      433334.000;      435044.000;      434189.000;      434148.400;           0.000;           0.091;
  215;      436796.000;      522164.000;      479480.000;      441816.300;           0.000;           4.281;
  216;      529694.000;      630220.000;      579957.000;      537067.400;           0.000;           4.243;
  217;      445048.000;      446662.000;      445855.000;      445937.700;           0.000;           0.092;
  218;      449536.000;      458396.000;      453966.000;      451236.700;           0.000;           0.496;
  219;      453594.000;      454626.000;      454110.000;      454084.500;           0.000;           0.060;
  220;      512864.000;      524756.000;      518810.000;      514838.500;           0.000;           0.544;
  221;      461634.000;      471124.000;      466379.000;      462549.000;           0.000;           0.439;
  222;      469786.000;      481626.000;      475706.000;      471138.000;           0.000;           0.559;
  223;      470066.000;      477758.000;      473912.000;      471172.000;           0.000;           0.471;
  224;     1050670.000;     1064508.000;     1057589.000;     1053748.000;           0.000;           0.341;
  225;      477940.000;      486178.000;      482059.000;      478874.100;           0.000;           0.364;
  226;      484324.000;      493426.000;      488875.000;      485106.500;           0.000;           0.408;
  227;      486950.000;      494422.000;      490686.000;      487792.800;           0.000;           0.329;
  228;      551732.000;      560976.000;      556354.000;      553526.800;           0.000;           0.506;
  229;      495342.000;      496576.000;      495959.000;      495928.900;           0.000;           0.059;
  230;      500584.000;      516046.000;      508315.000;      502494.100;           0.000;           0.763;
  231;      504676.000;      778192.000;      641434.000;      546081.100;           0.000;          17.387;
  232;      615816.000;      726976.000;      671396.000;      625846.600;           0.000;           4.043;
  233;      513526.000;      742004.000;      627765.000;      525301.400;           0.000;           9.710;
  234;      518500.000;      551854.000;      535177.000;      521551.200;           0.000;           1.601;
  235;      522114.000;      533278.000;      527696.000;      523609.900;           0.000;           0.545;
  236;      581242.000;      597418.000;      589330.000;      583776.500;           0.000;           0.673;
  237;      530742.000;      596658.000;      563700.000;      535123.500;           0.000;           2.726;
  238;      539678.000;      552582.000;      546130.000;      540949.500;           0.000;           0.509;
  239;      813200.000;      824652.000;      818926.000;      815663.800;           0.000;           0.364;
  240;      689574.000;      695734.000;      692654.000;      690972.300;           0.000;           0.184;
  241;      791106.000;      803164.000;      797135.000;      794710.300;           0.000;           0.354;
  242;      554706.000;      646066.000;      600386.000;      559726.000;           0.000;           3.631;
  243;      557838.000;      589684.000;      573761.000;      562114.200;           0.000;           1.660;
  244;      636710.000;      920150.000;      778430.000;      653631.600;           0.000;           9.653;
  245;      567328.000;      568704.000;      568016.000;      568046.900;           0.000;           0.063;
  246;      572818.000;      754240.000;      663529.000;      586461.300;           0.000;           7.041;
  247;      576298.000;      607302.000;      591800.000;      578819.300;           0.000;           1.217;
  248;      708862.000;      723260.000;      716061.000;      710959.500;           0.000;           0.429;
  249;      585074.000;      593718.000;      589396.000;      586303.700;           0.000;           0.303;
  250;      591270.000;      605836.000;      598553.000;      593405.300;           0.000;           0.641;
  251;      595506.000;      602752.000;      599129.000;      596229.700;           0.000;           0.261;
  252;      671332.000;      768736.000;      720034.000;      677640.900;           0.000;           3.166;
  253;      605356.000;      661122.000;      633239.000;      609772.500;           0.000;           2.056;
  254;      613292.000;      672588.000;      642940.000;      617875.200;           0.000;           2.209;
  255;      613514.000;      704906.000;      659210.000;      621062.000;           0.000;           3.266;
  256;     2564986.000;     2589120.000;     2577053.000;     2572917.900;           0.000;           0.217;
  257;      627438.000;      637810.000;      632624.000;      629103.300;           0.000;           0.436;
